Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Public Constructor,"com.lprevidente.ddd_example.team.domain.TeamId.TeamId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,2,1,1,1,,,0,,,0.00,1
Public Constructor,"com.lprevidente.ddd_example.team.domain.TeamId.TeamId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,3,1,2,1,1,1,,,0,,,0.00,1
Public Class,"com.lprevidente.ddd_example.team.domain.TeamMember",3,0,3,0,1,,,,,1,13,13,0,,1,0,,,,6,2,7,7,0,2,0,5,,42,8,29,18,10,8,,11,19,10,10,,1,1,0,64,50,0.28,7
Private Constructor,"com.lprevidente.ddd_example.team.domain.TeamMember.TeamMember",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,1,2,1,2,1,1,1,,,0,,,0.33,1
Public Final Method,"com.lprevidente.ddd_example.team.domain.TeamMember.equals",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,2,1,1,1,,,0,,,0.00,1
Public Method,"com.lprevidente.ddd_example.team.domain.TeamMember.hashCode",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,2,0,2,2,1,0,2,1,2,1,1,1,,,0,,,0.00,1
Public Static Method,"com.lprevidente.ddd_example.team.domain.TeamMember.of",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,2,1,1,1,,,0,,,0.00,1
Private Method,"com.lprevidente.ddd_example.team.domain.TeamMember.setIds",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,3,3,4,1,3,1,,,0,,,0.00,1
Public Method,"com.lprevidente.ddd_example.team.domain.TeamMember.teamId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,2,1,2,1,1,1,,,0,,,0.00,1
Public Method,"com.lprevidente.ddd_example.team.domain.TeamMember.userId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,2,1,2,1,1,1,,,0,,,0.00,1
